0.357000, 1.361935, 7.567513, 1.074614, 1.074614, 1.294198, 8.443038
0.361000, 1.392410, 7.649322, 1.069680, 1.069680, 1.294198, 8.631959
0.365000, 1.423211, 7.731020, 1.062310, 1.062310, 1.294198, 8.822907
0.370000, 1.462172, 7.832984, 1.057919, 1.057919, 1.294198, 9.064438
0.383000, 1.565852, 8.097253, 1.047481, 1.047481, 1.294198, 9.707177
0.388000, 1.606642, 8.198566, 1.042144, 1.042144, 1.614407, 9.960046
0.393000, 1.647939, 8.299693, 1.038943, 1.038943, 1.614407, 10.216049
0.398000, 1.689740, 8.400632, 1.034850, 1.034850, 1.614407, 10.475180
0.402000, 1.723544, 8.481246, 1.032298, 1.032298, 1.614407, 10.684733
0.407000, 1.766252, 8.581840, 1.029807, 1.029807, 2.251035, 10.949475
0.412000, 1.809463, 8.682240, 1.027645, 1.027645, 2.251035, 11.217320
0.416000, 1.844392, 8.762418, 1.024727, 1.024727, 2.251035, 11.433823
0.421000, 1.888505, 8.862461, 1.022511, 1.022511, 2.251035, 11.707220
0.426000, 1.933116, 8.962303, 1.019168, 1.019168, 2.251035, 11.983676
0.430000, 1.969165, 9.042031, 1.018133, 1.018133, 3.044823, 12.207024
0.441000, 2.069940, 9.260601, 1.013404, 1.013404, 3.044823, 12.831047
0.446000, 2.116540, 9.359617, 1.011531, 1.011531, 3.044823, 13.119305
0.451000, 2.163634, 9.458420, 1.096050, 1.096050, 3.944082, 13.410288
0.456000, 2.211222, 9.557009, 1.215685, 1.215685, 3.944082, 13.703817
0.460000, 2.249647, 9.635725, 1.253756, 1.253756, 3.944082, 13.940297
0.465000, 2.298121, 9.733922, 1.362091, 1.362091, 3.944082, 14.237657
0.470000, 2.347084, 9.831898, 1.429889, 1.429889, 3.944082, 14.536473
0.475000, 2.396537, 9.929652, 1.494232, 1.494232, 3.944082, 14.835994
0.479000, 2.436451, 10.007693, 1.554676, 1.554676, 4.836624, 15.075413
0.484000, 2.486781, 10.105040, 1.611549, 1.611549, 4.836624, 15.373233
0.489000, 2.537598, 10.202157, 1.665131, 1.665131, 4.836624, 15.667640
0.493000, 2.578600, 10.279685, 1.715436, 1.715436, 4.836624, 15.899046
0.507000, 2.724544, 10.549851, 1.827029, 1.827029, 5.730987, 16.654367
0.512000, 2.777582, 10.645887, 1.866584, 1.866584, 5.730987, 16.892277
0.517000, 2.831099, 10.741682, 2.076172, 2.076172, 5.730987, 17.107686
0.521000, 2.874257, 10.818142, 2.370797, 2.370797, 7.111018, 17.262341
0.526000, 2.928634, 10.913497, 2.463731, 2.463731, 7.111018, 17.433086
0.530000, 2.972478, 10.989603, 2.641866, 2.641866, 7.111018, 17.552285
0.535000, 3.027711, 11.084512, 2.809966, 2.809966, 7.111018, 17.681581
0.540000, 3.083417, 11.179169, 2.968076, 2.968076, 7.111018, 17.792120
0.545000, 3.139597, 11.273573, 3.187265, 3.187265, 8.331112, 17.887592
0.549000, 3.184879, 11.348913, 3.321959, 3.321959, 8.331112, 17.955502
0.554000, 3.241906, 11.442856, 3.447405, 3.447405, 8.331112, 18.032412
0.566000, 3.380680, 11.667257, 3.724106, 3.724106, 9.503273, 18.194192
0.572000, 3.451075, 11.778889, 3.820963, 3.820963, 9.503273, 18.268358
0.576000, 3.498376, 11.853097, 4.465661, 4.465661, 9.503273, 18.316539
0.581000, 3.557919, 11.945616, 4.867238, 4.867238, 9.503273, 18.375923
0.585000, 3.605886, 12.019436, 5.246491, 5.246491, 9.503273, 18.423038
0.590000, 3.666259, 12.111466, 5.774966, 5.774966, 9.503273, 18.481713
0.594000, 3.714889, 12.184893, 6.100610, 6.100610, 9.503273, 18.528620
0.600000, 3.788383, 12.294702, 6.406026, 6.406026, 10.670124, 18.587347
0.603000, 3.825376, 12.349457, 6.691501, 6.691501, 10.670124, 18.634474
0.608000, 3.887397, 12.440490, 6.957384, 6.957384, 10.670124, 18.693629
0.613000, 3.949872, 12.531243, 7.204776, 7.204776, 10.670124, 18.753107
